Owner Bucket  ?,Case Number,Account Name,Subject,Description,Resolution/Root Cause,Priority,Primary CSM,Created By,Date/Time Opened,Case Age,Category,Sub-Category,Age,Business Hours Age
,210344,Temenos Headquarters S.A.,Forecast Tab Edits,"Hi -  I am attaching a file with three tabs.  Please process the changes in each tab.

1. Delete the ""old"" tabs
2. Update the 2025NBV and 2025 ACV tabs.
3. Update the Trend Tabs.","Perform below changes as per request
1. Delete the ""old"" tabs
2. Update the 2025NBV and 2025 ACV tabs.
3. Update the Trend Tabs.",Low,Toni Pang,Mike Green,"1/26/2025, 10:59 AM",7,Configuration,Forecast - Update,165,80
,210387,"Intercom, Inc.",New Fin Tabs,"Hi Team,

Can you please create two New tabs as attached and make them visible to Sales Ops users?

Tab 1: AE Fin
Tab 2: RM Fin",NA,Low,Tyler Jass,Leo Zhang,"1/27/2025, 3:48 AM",8,Configuration,Forecast - Update,209,110.185
,210421,Web Services Integration Limited,Updating the Forecast View: YTD Forecast,"Hello,

I wanted to repurpose the Forecast View that we have called ""YTD Forecast"". I wanted to follow the same format of ""Forecast"". I tried making updates using the Forecast Configuration but it may be limited for me to make those changes as planned. 

Can you assist with this? Essentially, the changes are as follows:

1. To follow the same format as ""Forecast""
2. To update the Record Type to Professional Services: ""0121v000000lYiAAAU""",We have created the new tab according to the requirements provided.,Low,Pooled CSM,Miguel Solomon,"1/27/2025, 7:59 AM",13,Configuration,Forecast - Update,322,154.0063889
,210617,"Trellix (Musarubra US, LLC)",Please Delete FIeld,"We are unable to delete the field, 'CSM Motion' (account.csm_motion__c). May you please delete on our behalf? Thank you!","deleted the field ""CSM Motion"" (account.csm_motion__c)",P3,Whitney Drazovich,Kim Grant,"1/28/2025, 10:48 AM",5,Configuration,Forecast - Update,117,55.19
,210641,Clari House Account,Internal Clari Help: Delete Fields from Field Configuration,"Hi all!

Here is a list of fields that are currently in Clari that we'd like to remove from all modes & Clari overall:

https://docs.google.com/spreadsheets/d/1Qhm9s4I_Rv8DVcThrxbFObZEuJXv610UvarlUbhE8l4/edit?gid=564177190#gid=564177190

Thank you!","Resolution:
List of fields currently present in the Clari application that need to be removed.",Low,Jessica Starr,Amanda Bevilacqua,"1/28/2025, 12:51 PM",66,Configuration,Field Config - Update,1589,773.1472222
,210730,Sophos LTD,Quote Line Object Field Inquiry,"Hello Support!

Do we have the ability to pull in fields from the ""Quote Line"" Object? I have a request to pull the Field ""Quote Line type""  with the API of cpq_Quote_Line_Type__c","Created new *""Quote Line Item""* mode",P3,Lizzie Rupp,Stephen Harris,"1/29/2025, 7:18 AM",18,Configuration,Field Config - Update,447,202.6983333
,210754,Tealium,"New Field in Field Config still appearing ""in progress""","I added the field ""Upsell/Downsell Summary"" via the field config yesterday, 1/28 to the account mode, opportunity details layout and the field is still appearing with ""in progress"". Can you confirm when the field will be available in the UI?","The ""Upsell/Downsell Summary"" field is successfully loading in Clari. Additionally, I have added this field to the account details section.",P3,Amanda DeLuise,Lia Stahl,"1/29/2025, 8:36 AM",5,Configuration,Forecast - Update,132,57.39111111
,210765,Gigamon,Add columns,"Pls ADD three new columns named 'Month 1 CQ, Month 2 CQ, Month 3 CQ (L, M, N all highlighted in yellow in spreadsheet) to the forecast. details on spreadsheet attached.
pls connect with me prior to building in clari.",added the monthly forecast columns,Low,Amanda DeLuise,Sahiba Babbar,"1/29/2025, 8:56 AM",13,Configuration,Forecast - Update,325,153.0555556
,210846,"Beeline.com, LLC",Change aggregated field for Forecast Tab,Hello - we are needing a change to one of our Forecast tabs so that all aggregation for it is based off the standard amount field for the opportunity split object. Thank you!,updated the amount field to Split Amount in all columns of the Roll-Up Forecast tab.,Low,Pooled CSM,Zack Helm,"1/29/2025, 1:56 PM",6,Configuration,Forecast - Update,133,53.315
,210863,Level Access,New Account based mode,"We connected with the customer today.
Here is the recording: https://app.clari.com/copilot/call/5bf3c776-5a53-4a00-afec-f78acac0b7aa

I need help creating a new account mode and the forecasting tab.

They have accounts, contracts, and annual spending objects.

Can I connect with someone over Zoom to review the requirements?","I have created the new *Account Commitment* mode which can  
 successfully pull data for *Accounts*, *Contracts*, and *Account Commitment* objects",Low,Matthew Mcginley,Janhavi Wagle,"1/29/2025, 2:38 PM",14,Configuration,Field Config - Update,344,163.3558333
,210892,Planet,Planet -  New Forecasting Tab,"Please build out the new ""Pipe Gen"" forecasting tab for the planet team","Created a new  ""Pipe Gen"" tab",Low,Elizabeth Stoughton,Erin Martinez,"1/29/2025, 6:41 PM",5,Configuration,Forecast - Update,122,48
,210949,Verkada,**Push live on Feb 3** Verkada Forecast Update,"Please update Verkada's tab titled ""Forecast"" on Monday, February 3rd.

All details are outlined in the linked spreadsheet: https://docs.google.com/spreadsheets/d/1iq3qk-358bdIJlj_3p4jq_SQ-uvXkrW4dcifxMlqoK4/edit?usp=sharing","Renamed the columns, updated their formulas, removed the existing columns, and added new columns in the ""Forecast"" tab",Low,Ari Henck,Ari Henck,"1/30/2025, 7:09 AM",5,Configuration,Forecast - Update,134,58.83944444
,211027,Unity Technologies,Query Update - New License and SST tab,"Unity is attempting to edit the Quota query in the New License and SST forecast tab, and running into an issue with a condition.

They to filter out anything that is (Line Type not Renewal AND Product Family not License), essentially filtering out ONLY renewal licenses. However, they're struggling to correctly group conditions together in the query.

Here is the existing query:
Forecast in [""Closed"", ""Commit"", ""Best Case""] AND Scope is ""Owned By Me"" AND 'Forecast Date' is ""__CLARI_FORMULA_DATE_RANGE__"" AND Primary is ""Checked"" AND 'Opportunity RecordType' in [""Core Sales"", ""Online Sales""] AND ('Line Type' is not ""Renewal"" AND 'Product Family [sbqq__quoteline__c.sbqq__productfamily__c]' is not ""License"")

We thought that by adding the parenthesis for the last 2 conditions would work, but the condition is section is kicking out all renewals and all licenses, not just all renewal licenses. 

Is there a better way to write the query or additional guidance you can provide?","updated the query from ('Line Type' is not ""Renewal"" AND 'Product Family [sbqq__quoteline__c.sbqq__productfamily__c]' is not ""License"")

to ('Line Type' is not ""Renewal"" OR 'Product Family [sbqq__quoteline__c.sbqq__productfamily__c]' is not ""License"").
",Low,Ari Henck,Ari Henck,"1/30/2025, 11:28 AM",5,Configuration,Forecast - Update,112,39.77888889
,211025,IntegriChain,Field API Updated,"Hi! I have changed the Name and API name of a field in salesforce and now I am seeing this warning:
FIELD NAME, SALESFORCE FIELD ID, LOST ACCESS DATE AND TIME
BFG Partner,account.bfg_partner__c,Jan 29 2025 2:27 PM EST

We can remove that field in Clari but I am unable to locate it. 

thanks!",Removed the field from the Clari.,P3,Rohit Agarwal,Olivia Homish,"1/30/2025, 11:12 AM",3,Configuration,Forecast - Update,82,22.79194444
,211089,"Confluent, Inc.","Make ""Quota"" column a sum of two columns from different two tabs","Hi team,

Can we have the ""Quota"" column from Total CP ACV and Total CC ACV as a sum of two columns as below, but don't touch the attainment column ""Closed"" on them (We need that).

1) Tab: Total CP ACV -> Column ""Quota"" - Sum of Quota columns of tabs CP New ACV(New Subs Quota) and CP Ren ACV (Renewal Subs Quota)

2) Tab: Total CC ACV -> Column ""Quota"" - Sum of Quota columns of tabs CC New ACV (Quota ) and CC Ren ACV (Quota)

Let me know how this can be achieved without touching the ""Closed"" column associated with them.

Feel free to schedule a call for more discussion.","Customer sorted out the issue
internally.",Low,Whitney Drazovich,Chetan Kulkarni,"1/30/2025, 8:51 PM",13,Configuration,Forecast - Update,292,128
,211094,Globalization Partners LLC,"New KPI, hence need new quarterly forecast","Hi Team,

There are changes to the partner team quota.  Can we add two new tab -Partner SQL Quarterly Forecast and ADP SQL Quarterly forecast.  
These two will be based on opportunity created date.  Attached here excel file for your references.

Can we have these ready by today so i can show my VP?

And one question, is it possible to have 3 actuals vs quota in one forecast tab?
Example:
Partner SQl (actual vs quota), Partner SAL (actualvs quota) and Partner MA (actuals vs quota)

Thank you!

Regards
Sophie","created the new ""Partner SQL Quarterly Forecast"" and ""ADP SQL Quarterly Forecast"" tabs
updated the name of ""Closed Won"" to ""SQL Actuals"" and replaced (opportunity.type = New Business) with (EXCLUDED (opportunity.type = Existing Business)) in all columns ",Low,Andrew Pohlen,Sophie Mok,"1/30/2025, 9:45 PM",7,Configuration,Field Config - Update,151,67.09416667
,211114,BNamericas,"New Columns in ""First Year Portfolio"" tab","Hi,

Please could you help me add 6 new columns to the First Year Portfolio in the Quarter and Monthg.

The columns are exactly thesame as the ones in ""2025 Renewal"" tab:

1) Commit Total
2) Upside Total
3) Best Case Total
4) Commit GRR - Calculation
5) Upside GRR - Calculation
6) Best Case GRR - Calculation

You can see these fields in the screen shot attached, the only difference is that they need to include:
'First Year Client' in [""Checked""]","created six new columns in the First Year Portfolio under the Quarter and Month sections, identical to those in the ""2025 Renewal"" tab, with the filter 'First Year Client' in [""Checked""].",Low,Matthew Mcginley,David Kennan,"1/31/2025, 3:56 AM",9,Configuration,Forecast - Update,228,94.0575
,211127,FD TECHNOLOGIES PLC,The Software YTD tab is looking at the wrong year in the quarter close columns,the annual close date is correctly summing opps in this fiscal year FY 2025 (March 2024 - Feb 2025) but the quarter close numbers are looking at FY2023.  Need the quarters to also be looking at FY2025.  They should then sum up together to be the same as the annual number.  Please resolve.,"Created the new filters for the close date field, and now the ""YTD Software"" tab is displaying the correct year (March 2024 - February 2025) in the quarter duration.
Updated the label for the close date filters.",Low,Toni Pang,Caroline Jones,"1/31/2025, 6:28 AM",4,Configuration,Forecast - Update,92,28.29416667
,211156,Cohesity,"Add additional filter to columns in Renewal(ACV), Splits Renewal(ACV), Renewal Field View ACV tabs","Can we exclude Oppty record type = IBM Opportunity from Columns Renewal Pipeline, Commit Renewal, On Track Renewal, At Risk Renewal in Renewal(ACV), Splits Renewal(ACV), Renewal Field View(ACV) tabs. I tried for Renewal ACV tab in Renewal Pipeline but getting error after save, Can you please check this issue. thanks","We have added exclude Oppty record type = IBM Opportunity for Columns Renewal Pipeline, Commit Renewal, On Track Renewal, At Risk Renewal under Renewal(ACV), Splits Renewal(ACV), Renewal (ACV) Field View tabs",Low,Chris Hughes,Uday Bodduna,"1/31/2025, 9:13 AM",5,Configuration,Forecast - Update,129,56.78277778
,211175,Rapid7,Error when updating forecasting,"Hi, I am trying to update the Baseline column in the CQ OCO Renewal and NQ OCO Renewal. Can someone please update for me? Trying to change the stage filter to the below.

""Open"", ""In Progress"", ""Positioning"", ""Validation"", ""Negotiation"", ""Closed Submit"", ""Closed Won"", ""Closed Lost""",We have updated the Baseline column in the CQ OCO Renewal and NQ OCO Renewal tabs as requested .,Low,Alison Quartironi,Connor Rosenstein,"1/31/2025, 10:06 AM",3,Configuration,Forecast - Update,79,22.59527778
,211198,"Ensono, Inc.",Funnel - Yearly timeframe,"Can you please add the ability in Funnel to show show total oppss in a given year. Ex: This Year, Last Year, etc.",Funnel already displays filter options for This Year and Last Year.,Low,Matthew Mcginley,Edward Fuerst,"1/31/2025, 11:42 AM",4,Configuration,Analytics - Update,88,23.56416667
,211226,Own Company,Re arrange order of Tabs on Forecasting,"Hi Clari Support, 
Please re-arrange the order of the Forecast tabs. See below the order where we are pulling Feb - April tab forward.
1) 1 Feb - 30 April Forecast 
2) 1 Feb - 30 April Pipeline Gen
3) 18 Nov - 31 Jan Forecast
4) 18 Nov - 31 Jan Pipeline gen
5) 1 Nov - 31 Jan Forecast
6) 1 Nov - 31 Jan Pipeline Gen
7) 1 Oct - 31 Jan Forecast
8) 1 Oct - 31 Jan Pipe gen
9) Forecast
10) Pipe gen
11) YTD",Reordered the tab,Low,Nico Alvarez,Deanne Bhamgara,"1/31/2025, 2:53 PM",4,Configuration,Forecast - Update,84,20.39722222
,211228,Illumio,Added Fields Do Not Show Up,"Hi Clari Support,

I recently added the following fields to several opportunity layouts via field configuration, but they doesn't seem to be added. 
Deal Registration # (API: deal_registration_number__c)
Deal Registration Expiration Date (API: deal_registration_expiration_date__c)
Deal Registration Submitted Date (API: deal_registration_submitted_date__c)

The status says this:
Available (In-Progress)
This field is ready for use but will need time to appear in Clari. (Code: EXTRACT_NOT_ENABLED)

Can you please help?

Thanks,
Yusuf",We observed that all the fields provided are in Available status and completely loaded,P3,Alex Ertel,Yusuf Tjhin,"1/31/2025, 3:04 PM",3,Configuration,Field Config - Update,74,17.63944444
,211229,"Cornerstone OnDemand, Inc",Update Widget dashboard for Pipelien Gen,"Current widget pipeline shows: 
1. CQ PIpe Gen Target
2.CQ Qualified 
3. CQ Pipe Gen Forecast
Please update teh widget to show: 
Current widget pipeline shows: 
1. CQ PIpe Gen Target
2.CQ Qualified 
3. FY Qualified","1) Now FY Pipe Gen Target and FY Qualified columns can be added as widget to the any dashboard as requested .

2) We should mandatorily have a forecast column associated with the quota to  add it as a widget to the dashboard

3)we have removed the for",Low,Alison Quartironi,Nhatai Le,"1/31/2025, 3:07 PM",12,Configuration,Dashboard - Update,291,130.6930556
,211249,"Cribl, Inc.",Help with Oppty Grid: Order of Fields,"Hi Team,

Two requests I'm hoping you can assist with:

1) Can we add “Account Name” (or “Name”) as a Filter and a Group within the Opportunity grid? Today, these are not options to select
2) See the attached requirements document. Can you help us get the following column order saved for all Opportunity Grid default views and all Saved and Not Shared Views. I've outlined what should be the first 35 columns that are shown on the Opportunity Grid. I am looking to have everyone's views be standardized across the business.

Requirements doc link > https://docs.google.com/document/d/12qDohxTuaqy4tKDMyon4VgyS01wJSNbWGUG62rYCWW0/edit?tab=t.0

Thank you in advance for the help and assistance.

Matt","added the ""Account Name"" field to the filter and group sections of Opportunity mode and arranged the grid as per the sheet.",Low,Jason Parawan,Matt Ashburn,"2/1/2025, 9:59 AM",10,Configuration,Field Config - Update,239,102.7547222
,211251,Skai,Read Salesforce 'opportunity team',"Hi,
We started working with the salesforce standard object- opportunity team, and we want to bring that data into Clari so we can filter and group by a team member.
Is that feasible? do we need you guys to do the work? is it something that we can do? and if so how?","created the new OpportunityTeamMember mode, and the Opportunity Team Member Name field is now available in the filter and group sections.
added all the filter values  in Opportunity Team Member Name field as requested",Low,Jason Parawan,Kenshoo Admin,"2/1/2025, 10:38 PM",19,Configuration,Other,451,223.6111111
,211267,Baidam Solutions,Commit and Best Case Forecast - Only Include the Forecast category that rolls up,"In Forecast the Commit number that you can Copy to the Commit Forecast, includes the Closed Won as well. I want the Closed Won number to be excluded in the figure, so team Members can Copy to Commit just the Commit Number (Not Commit + Closed Won).In Forecast the Best Case number that you can Copy to the Best Case Forecast, includes the Closed Won and Commit as well. I want the Closed Won and Commit number to be excluded in the figure, so team Members can Copy to Best Case just the Best Case Number (Not Best Case + Commit + Closed Won).e",Updates on configuration of commit and best case columns,Low,Pooled CSM,Beau Hodge,"2/2/2025, 6:04 PM",3,Configuration,Forecast - Update,55,32
,211274,"Sprinklr, Inc.","Remove ""Submitted for Close"" from closed won totals","Can you please help me remove ""Submitted for close from
1. The ""Closed"" Column in the New/Upsell forecast tab 
2. The ""Closed Won"" column in the renewals forecast tab


I am capable of changing renewals but not new upsell and want these 2 changes live at the same time","Removed ""Submitted for Close"" filter from the Close column for both monthly and quarterly in the ""New / Upsell ARR"" tab.",Low,Cortney Fickey,Annika Kallestad,"2/2/2025, 9:23 PM",2,Configuration,Forecast - Update,36,23.12138889
,211362,"Cloudinary, Inc. and Affiliates",Filter out opps with Upgrade_From_Self_Serve__c=true,"Hi 
For the 'increases tab' in the forecasting section and only there please add a condition to filter out all opportunities with the checkbox Upgrade_From_Self_Serve__c = true
all other filters should remain as is. 
from all columns so that these opportunities do not show on the increase tab at all for all won, commit and upside deals and for any stage deal- these deals should not be a part for the data set for this tab.
thanks",We have added a filter  Upgrade_From_Self_Serve__c= Not checked to filter out all the opportunities with  Upgrade_From_Self_Serve__c=true as requested for all the columns under the  'Increases tab'.,Low,Pooled CSM,Shir Marcus,"2/3/2025, 9:10 AM",3,Configuration,Forecast - Update,66,41.67111111
,211383,"Rocket Software, Inc.",Please exclude Renewals-ASG-AMER East-LATAM-Rep role from forecast,"Hello,
Please could you exclude the role Renewals-ASG-AMER East-LATAM-Rep from the forecast views. Previously, we have had a filter on each of the columns to exclude this role so any deals forecasted under it do not roll in. Please could the columns on the forecast module be updated to exclude this owner role. 

Thanks
Matt",added the filter ROLE ID (EXCLUDED) = Renewals-ASG-AMER East-LATAM-Rep to all columns across all tabs.,Low,Elizabeth Stoughton,Matt Bailey,"2/3/2025, 10:26 AM",6,Configuration,Forecast - Update,150,71.55916667
,211462,"Asana, Inc",Please validate my query,"In the ""Forecast"" columnof the 'Forecast' tab I need to include an additional bunch of opps (PS opps with an ARR override).  Last time I tried updating a query on my own it broke everything so I'm being more cautious this time!

I need to capture all opps where
Forecast Category is Commit, Forecast, or Closed Won
Scope is Owned by Me
Close Date is current Q

WHERE

RecordType is Sales, Renewals, Partner
ARR is not 0
Stage in 02, 03, 04, 05, 99

OR

Record Type is PS
ARR override is not 0

Am I getting it?

Current query:
'Clari Forecast Category' in [""Commit"", ""Forecast"", ""Closed Won""] AND Scope is ""Owned By Me"" AND 'Close Date' is ""__CLARI_FORMULA_DATE_RANGE__"" AND 'Record Type' in [""Sales"", ""Partner"", ""Renewals""] AND 'Sales Credited ARR' is not ""= 0"" AND Stage in [""02 Scope Solutions"", ""03 Prove Value"", ""04 Propose & Negotiate"", ""05 Finalize"", ""99 Closed Won""]

Proposed query:
'Clari Forecast Category' in [""Commit"", ""Forecast"", ""Closed Won""] AND Scope is ""Owned By Me"" AND 'Close Date","updated the configuration of ""Forecast"" column of the 'Forecast' tab",Low,Lizzie Rupp,Hans Hoffer,"2/3/2025, 3:59 PM",2,Configuration,Forecast - Update,55,34.00972222
,211493,REMOTE EUROPE HOLDING B.V.,Update SUMMARY (NEW) Tab to include Revenue Motion = API Led in addition to Sales Led.,Update SUMMARY (NEW) Tab to include Revenue Motion = API Led in addition to Sales Led.,"included Revenue Motion = API Led in addition to Sales Led across all columns in the SUMMARY (NEW) tab,",P3,Said Mussa,Hind Zerrouki,"2/3/2025, 11:06 PM",6,Configuration,Forecast - Update,137,64
,211508,Checkmarx,Update filters,"Please update ""Won+Commit"", ""Commit"", ""Upside"", ""Pipeline"", ""Pipeline Rollup"" filters on Renewals tab:
close date: this quarter, last year","We have updated ""Won+Commit"", ""Commit"", ""Upside"", ""Pipeline"", ""Pipeline Rollup"" filters on Renewals tab filter to have close date = this quarter, last year as requested",Low,Toni Pang,Lala Djafarov,"2/4/2025, 3:57 AM",2,Configuration,Forecast - Update,47,30.88083333
,211516,Flock Group Inc.,Create new Forecast tab,"Hi team,
Can we please create another forecast tab, called Forecast (RevOps Testing) that has the same configuration as the existing tab Forecast? Thank you!","Created a new ""Forecast (RevOps Testing)"" tab, which is a replica of the existing ""Forecast"" tab.",Low,Elizabeth Stoughton,Michael Hlebasko,"2/4/2025, 6:17 AM",3,Configuration,Forecast - Update,86,59.70694444
,211600,Boomi LP,Strategic Initiatives Hide Columns,"Hey team, Can you help me hide the first 3 columns of the ""Strategic Initiatives - Test"" Forecast tab?","We have hidden  the first 3 columns of the ""Strategic Initiatives - Test"" Forecast tab as requested",Low,Jason Parawan,Michael Harris,"2/4/2025, 12:15 PM",0,Configuration,Forecast - Update,8,5.748333333
,211595,Canto,Please add a filter option,"Hi Support,

On the Add-on tab, please add the option for the record type of PIM Upsell (ID: 012Sc000003oIzJ) where we are pulling in a record type from Salesforce.

Please add the PIM Upsell (ID: 012Sc000003oIzJ) to the following columns on the Net Retention 2 tab
Add-ons won
Add-ons expected
Add-ons stage 2
Add-ons best case finish 
Thank you!",We have added PIM Upsell (ID: 012Sc000003oIzJ) record type id to the columns provided on the Net Retention 2 tab.,Low,Pooled CSM,Megan Jacobson,"2/4/2025, 11:42 AM",2,Configuration,Forecast - Update,54,37.66861111
,211604,Cohesity,Exclude IBM Opportunity Record Type from Renewal(Closed) Column in Renewal(ACV) and Splits Renewal(ACV),Exclude IBM Opportunity Record Type from Renewal(Closed) Column in Renewal(ACV) and Splits Renewal(ACV),As discussed on the call we have updated all the changes as requested,Low,Chris Hughes,Uday Bodduna,"2/4/2025, 12:28 PM",1,Configuration,Forecast - Update,30,21.52444444
